date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;
04/11/2019;16;9;42;1;39;7;6;18;25;41;43;
06/11/2019;43;27;23;44;42;10;28;35;41;44;48;
09/11/2019;26;24;6;18;29;3;4;9;13;28;49;
11/11/2019;28;14;27;13;25;5;16;18;32;44;45;
13/11/2019;22;13;10;35;19;1;2;25;42;44;49;
16/11/2019;10;49;30;12;29;9;13;15;30;39;41;
18/11/2019;31;44;6;15;12;7;20;22;36;37;40;
20/11/2019;22;23;7;30;37;3;3;13;31;40;42;
23/11/2019;4;27;28;9;22;4;10;33;35;40;43;
25/11/2019;44;41;35;33;38;8;4;14;41;45;47;
27/11/2019;44;2;15;29;18;4;5;11;25;27;32;
30/11/2019;7;25;17;48;16;3;4;24;25;39;40;
02/12/2019;39;28;14;11;42;9;5;12;14;40;45;
04/12/2019;8;30;26;35;40;2;24;29;30;36;44;
07/12/2019;40;29;44;38;10;8;2;5;8;24;48;
09/12/2019;1;34;15;24;25;8;3;5;16;42;44;
11/12/2019;25;33;48;1;40;8;9;15;40;48;49;
14/12/2019;3;48;17;4;38;9;6;8;12;36;44;
16/12/2019;38;26;39;35;10;6;1;6;31;40;49;
18/12/2019;23;6;17;5;7;9;6;23;28;36;44;
21/12/2019;48;23;27;19;22;2;1;12;14;22;49;
23/12/2019;37;36;32;20;7;2;4;5;35;40;48;
25/12/2019;36;40;45;24;15;9;12;23;27;32;44;
28/12/2019;24;48;49;18;8;8;10;18;42;44;45;
30/12/2019;12;38;34;32;48;6;17;22;27;42;44;
01/01/2020;11;7;32;24;4;10;5;21;29;40;44;
04/01/2020;22;9;43;31;34;5;13;25;26;39;40;
06/01/2020;49;10;19;26;30;3;5;15;17;42;44;
08/01/2020;17;44;29;16;37;8;6;15;18;24;29;
11/01/2020;48;14;2;23;13;3;3;13;14;22;33;
13/01/2020;16;11;25;32;14;9;3;8;15;35;44;
15/01/2020;35;19;8;22;46;2;3;6;20;36;41;
18/01/2020;12;1;33;13;2;9;2;4;5;28;49;
20/01/2020;13;38;31;30;26;1;4;6;29;31;45;
22/01/2020;25;28;42;26;12;10;9;12;35;36;43;
25/01/2020;36;17;30;7;11;5;7;8;15;40;44;
27/01/2020;27;12;10;7;41;1;15;22;32;37;45;
29/01/2020;31;30;6;14;45;8;9;12;18;25;37;
01/02/2020;36;25;22;21;16;9;13;36;40;46;48;
03/02/2020;49;20;7;31;33;4;6;7;9;33;47;
05/02/2020;30;21;6;11;29;4;18;22;28;43;46;
08/02/2020;47;31;12;45;7;10;7;22;29;37;46;
10/02/2020;15;49;37;25;38;8;6;10;11;28;36;
12/02/2020;47;38;17;30;43;5;27;29;31;44;47;
15/02/2020;48;4;25;5;45;7;1;4;32;43;45;
17/02/2020;44;39;7;41;19;1;2;4;17;27;44;
19/02/2020;40;16;21;41;46;2;19;25;30;38;40;
22/02/2020;4;39;26;5;24;4;12;24;33;37;42;
24/02/2020;20;15;27;9;47;7;3;11;28;31;44;
26/02/2020;20;6;30;32;45;4;15;36;38;42;46;
29/02/2020;37;24;19;10;5;6;10;12;26;36;41;
02/03/2020;42;26;21;39;40;5;1;21;33;38;49;
04/03/2020;10;17;33;30;49;4;1;4;6;17;29;
07/03/2020;5;35;37;4;24;2;11;14;29;30;39;
09/03/2020;26;41;5;33;42;7;5;19;39;44;48;
11/03/2020;38;45;5;14;46;1;3;10;23;39;47;
14/03/2020;28;41;38;31;43;10;1;28;32;34;36;
16/03/2020;44;16;4;40;23;3;6;12;28;45;48;
18/03/2020;48;10;46;28;29;9;4;14;25;34;40;
21/03/2020;16;37;8;7;42;8;3;5;35;36;40;
23/03/2020;28;49;5;48;21;2;2;5;12;19;29;
25/03/2020;40;45;24;32;34;1;16;28;35;38;43;
28/03/2020;35;23;26;32;22;5;5;22;35;38;39;
30/03/2020;21;37;12;17;23;7;4;10;14;38;39;
01/04/2020;41;48;42;28;3;6;1;16;19;36;44;
04/04/2020;40;2;35;39;42;9;13;23;24;38;48;
06/04/2020;23;29;18;35;7;4;3;12;17;18;19;
08/04/2020;16;9;19;26;6;9;24;27;42;43;49;
11/04/2020;8;43;1;48;41;7;12;15;20;24;49;
13/04/2020;42;1;19;23;17;9;13;14;18;43;44;
15/04/2020;16;1;31;48;3;6;3;7;18;48;49;
18/04/2020;45;1;33;47;27;8;11;14;33;36;41;
20/04/2020;37;5;9;7;41;6;19;26;29;30;45;
22/04/2020;28;30;43;40;41;7;27;29;32;33;49;
25/04/2020;49;6;24;13;10;3;3;9;26;34;43;
27/04/2020;41;11;19;29;14;9;1;7;16;20;39;
29/04/2020;25;29;47;5;7;1;5;7;32;34;42;
02/05/2020;43;22;12;30;9;4;7;11;18;21;42;
04/05/2020;39;8;9;33;15;10;7;16;24;36;47;
06/05/2020;48;36;14;15;10;3;1;20;40;45;49;
09/05/2020;48;39;29;47;35;7;2;11;30;35;46;
11/05/2020;34;5;33;3;17;10;13;17;20;27;33;
13/05/2020;43;4;17;38;49;8;11;19;21;24;48;
16/05/2020;26;27;41;46;19;4;9;26;31;37;47;
18/05/2020;20;30;35;14;10;9;27;32;36;37;44;
20/05/2020;45;14;39;20;47;8;24;25;35;39;43;
23/05/2020;22;28;3;23;29;2;5;7;26;32;46;
25/05/2020;9;26;30;42;36;4;7;24;36;43;47;
27/05/2020;29;6;12;44;31;6;3;12;22;37;49;
30/05/2020;5;14;42;44;16;9;3;5;33;36;45;
01/06/2020;24;26;2;36;32;7;4;8;21;40;41;
03/06/2020;12;13;26;44;16;6;15;19;40;44;47;
06/06/2020;14;7;43;44;29;5;19;22;23;40;41;
08/06/2020;8;22;26;46;2;1;1;2;13;33;38;
10/06/2020;47;36;20;11;9;2;15;25;31;35;49;
13/06/2020;25;32;6;5;28;4;5;10;16;43;45;
15/06/2020;22;49;26;2;47;2;19;24;25;33;41;
17/06/2020;26;13;10;20;46;1;1;19;23;28;39;
20/06/2020;8;24;33;38;14;5;14;15;20;36;48;
22/06/2020;9;36;5;21;39;5;15;34;36;44;46;
24/06/2020;36;8;31;34;17;7;5;9;24;30;31;
27/06/2020;1;39;2;6;27;4;12;16;20;34;49;
29/06/2020;21;29;20;47;46;7;14;18;19;29;41;
01/07/2020;44;47;5;13;14;8;18;21;34;37;48;
04/07/2020;23;13;27;44;36;6;6;8;22;27;33;
06/07/2020;2;11;42;30;35;6;1;2;5;19;39;
08/07/2020;30;48;37;9;26;8;3;5;14;20;44;
11/07/2020;32;6;35;28;40;7;4;17;24;34;43;
13/07/2020;24;3;35;46;2;8;1;9;12;15;22;
15/07/2020;6;12;4;35;44;3;12;16;17;29;31;
18/07/2020;11;42;22;34;43;4;12;23;26;28;39;
20/07/2020;8;42;22;28;26;2;1;11;37;39;48;
22/07/2020;4;28;38;20;18;1;28;29;30;35;47;
25/07/2020;18;10;6;15;48;4;11;29;32;40;43;
27/07/2020;19;24;45;15;25;3;17;22;23;32;45;
29/07/2020;47;46;7;19;39;5;9;36;42;43;49;
01/08/2020;17;18;25;38;9;9;10;26;31;41;44;
03/08/2020;43;48;42;23;30;7;11;26;29;30;44;
05/08/2020;46;32;22;15;17;8;9;16;28;39;43;
08/08/2020;35;42;49;4;6;9;5;9;18;26;32;
10/08/2020;28;38;2;1;11;6;8;20;34;44;46;
12/08/2020;17;47;30;3;44;3;15;25;28;42;44;
15/08/2020;5;41;3;42;15;7;7;16;38;41;42;
17/08/2020;6;1;39;48;40;6;8;11;15;38;45;
19/08/2020;35;11;13;4;34;1;3;32;33;39;49;
22/08/2020;7;11;5;32;33;5;4;5;29;35;42;
24/08/2020;28;18;22;37;19;2;17;21;30;32;36;
26/08/2020;13;45;4;40;31;3;17;33;36;43;49;
29/08/2020;23;15;38;21;39;4;4;19;27;31;43;
31/08/2020;7;16;17;4;11;10;5;13;14;45;48;
02/09/2020;14;23;21;47;3;3;24;26;31;32;47;
05/09/2020;22;15;19;24;46;3;4;9;10;18;26;
07/09/2020;37;35;31;44;14;7;6;8;41;46;47;
09/09/2020;24;48;20;29;45;3;2;15;28;39;40;
12/09/2020;16;46;12;21;24;2;12;19;21;35;43;
14/09/2020;23;49;5;13;32;2;10;31;42;45;48;
16/09/2020;28;19;49;23;17;7;8;10;19;29;46;
19/09/2020;33;42;27;46;32;7;6;8;9;22;27;
21/09/2020;46;41;38;19;16;9;17;19;24;26;35;
23/09/2020;11;5;25;23;33;5;22;23;28;33;37;
26/09/2020;4;31;49;8;39;9;11;14;15;32;38;
28/09/2020;33;22;44;6;35;2;20;27;40;42;48;
30/09/2020;26;24;49;32;2;5;16;19;24;43;44;
03/10/2020;31;36;9;33;18;2;16;18;27;32;39;
05/10/2020;6;22;19;5;9;5;1;9;14;16;37;
07/10/2020;17;30;6;49;19;2;5;28;35;41;47;
10/10/2020;48;26;31;47;42;8;23;34;39;47;48;
12/10/2020;18;7;21;42;11;3;2;4;7;23;36;
14/10/2020;19;42;32;26;39;6;6;16;19;20;34;
17/10/2020;28;23;24;9;20;4;10;18;24;29;30;
19/10/2020;7;35;48;28;25;1;35;36;37;40;49;
21/10/2020;35;48;33;21;15;1;6;10;19;32;35;
24/10/2020;8;25;4;12;45;2;4;6;10;19;47;
26/10/2020;33;7;8;12;22;5;5;7;8;11;33;
28/10/2020;25;43;30;2;19;9;3;21;29;36;49;
31/10/2020;22;35;9;28;13;5;20;31;35;40;49;
02/11/2020;42;43;38;33;31;3;4;18;34;35;48;
04/11/2020;29;10;16;14;9;1;5;6;9;21;24;
07/11/2020;45;5;48;42;30;9;11;16;20;24;33;
09/11/2020;26;18;41;38;5;10;3;27;36;43;46;
11/11/2020;15;17;10;37;16;9;14;16;18;39;41;
14/11/2020;40;26;17;24;43;9;9;11;38;43;47;
16/11/2020;7;47;16;33;42;7;2;8;18;46;49;
18/11/2020;28;11;14;43;41;8;4;5;12;16;37;
21/11/2020;49;17;44;5;46;4;3;9;18;25;48;
23/11/2020;15;20;12;6;1;1;4;17;19;29;38;
25/11/2020;1;26;14;31;10;4;1;3;13;22;33;
28/11/2020;9;25;2;47;35;10;9;14;33;41;48;
30/11/2020;28;9;26;29;18;3;10;15;17;41;47;
02/12/2020;23;14;40;46;27;1;1;3;14;30;47;
05/12/2020;34;20;14;35;9;1;4;6;13;20;22;
07/12/2020;45;27;48;4;38;4;6;13;20;38;47;
09/12/2020;47;17;48;39;24;7;2;26;28;31;43;
12/12/2020;14;31;9;45;23;6;1;17;20;41;46;
14/12/2020;47;48;13;34;2;6;6;7;9;23;41;
16/12/2020;21;6;41;17;16;9;8;13;15;40;46;
19/12/2020;30;29;49;23;10;5;4;25;27;41;45;
21/12/2020;10;31;36;37;44;5;13;14;19;28;43;
23/12/2020;5;3;39;31;38;9;8;11;22;31;38;
26/12/2020;31;3;40;35;2;7;8;18;35;40;46;
28/12/2020;41;34;42;22;1;5;1;7;44;45;49;
30/12/2020;36;20;13;31;38;1;5;16;27;32;41;
02/01/2021;5;27;7;24;41;10;10;11;31;32;39;
04/01/2021;31;39;30;49;19;8;6;16;25;37;46;
06/01/2021;41;21;32;47;11;9;10;23;25;34;44;
09/01/2021;49;12;27;11;7;1;7;22;32;38;40;
11/01/2021;33;46;8;17;1;5;1;9;14;26;37;
13/01/2021;32;42;30;17;41;5;5;6;11;28;49;
16/01/2021;44;20;14;22;36;2;8;12;29;36;39;
18/01/2021;5;43;10;48;25;10;5;14;30;46;47;
20/01/2021;21;11;22;40;32;9;5;16;35;42;49;
23/01/2021;1;19;13;24;48;5;21;27;38;39;43;
25/01/2021;13;31;49;7;3;5;3;13;17;21;23;
27/01/2021;27;44;25;23;6;6;2;9;12;25;46;
30/01/2021;17;5;33;9;37;4;6;21;28;31;47;
01/02/2021;1;18;45;17;21;9;7;17;19;24;27;
03/02/2021;17;31;26;37;21;10;10;26;32;36;41;
06/02/2021;44;42;15;9;47;10;8;9;15;29;38;
08/02/2021;19;10;9;29;5;8;7;8;18;37;49;
10/02/2021;44;13;29;15;33;4;4;5;20;25;40;
13/02/2021;13;17;31;28;9;10;18;34;37;44;49;
15/02/2021;13;22;17;6;12;7;10;24;36;39;41;
17/02/2021;34;31;35;41;29;8;11;27;28;29;48;
20/02/2021;21;36;19;39;49;5;4;6;31;35;49;
22/02/2021;3;37;26;15;24;7;6;11;18;19;30;
24/02/2021;47;18;41;10;19;2;7;18;39;43;45;
27/02/2021;4;29;42;43;11;10;12;23;32;36;48;
01/03/2021;4;14;21;47;8;9;13;16;27;28;36;
03/03/2021;38;8;41;49;19;7;4;5;6;15;35;
06/03/2021;11;22;3;13;30;8;6;13;18;24;29;
08/03/2021;24;8;38;19;40;10;4;6;8;13;16;
10/03/2021;26;42;33;20;34;9;5;8;14;16;49;
13/03/2021;47;22;19;4;10;8;3;5;9;43;44;
15/03/2021;29;38;33;15;41;2;3;9;12;30;33;
17/03/2021;45;18;46;3;30;3;1;18;28;29;41;
20/03/2021;42;18;14;4;27;3;19;28;32;40;42;
22/03/2021;15;6;34;39;24;4;7;21;29;30;36;
24/03/2021;22;38;28;37;9;10;1;4;43;45;47;
27/03/2021;16;11;18;8;10;5;7;29;36;38;43;
29/03/2021;41;28;18;13;38;1;2;23;24;35;38;
31/03/2021;2;27;24;35;22;5;3;18;20;29;39;
03/04/2021;17;1;38;2;45;2;13;16;19;35;48;
05/04/2021;32;22;2;12;15;8;1;3;7;33;40;
07/04/2021;35;19;9;16;43;4;25;37;38;41;46;
10/04/2021;9;35;15;8;4;8;31;34;38;41;44;
12/04/2021;43;14;26;7;11;7;8;14;16;17;32;
14/04/2021;27;25;20;23;47;6;11;16;18;23;40;
17/04/2021;38;37;17;34;30;1;20;28;29;36;46;
19/04/2021;49;17;36;44;27;1;4;11;25;33;35;
21/04/2021;45;31;6;49;39;4;3;11;17;27;49;
24/04/2021;41;12;26;42;36;7;4;21;33;34;48;
26/04/2021;2;34;41;32;8;6;1;13;33;35;37;
28/04/2021;4;15;10;49;12;6;1;4;5;9;35;
01/05/2021;27;25;5;34;38;7;3;9;12;19;45;
03/05/2021;44;8;11;48;37;6;10;13;14;23;47;
05/05/2021;36;48;46;41;8;6;2;4;39;45;47;
08/05/2021;41;35;40;6;24;6;2;8;31;33;46;
10/05/2021;44;12;13;17;27;10;11;34;36;39;47;
12/05/2021;19;11;22;36;9;1;1;12;22;31;36;
15/05/2021;7;31;29;24;47;3;3;8;12;20;28;
17/05/2021;23;42;3;17;47;4;9;11;17;21;29;
19/05/2021;28;17;41;3;23;3;4;38;45;46;48;
22/05/2021;9;2;45;19;7;10;10;32;34;37;44;
24/05/2021;11;44;47;29;7;9;12;23;35;37;42;
26/05/2021;20;1;22;5;42;6;12;35;36;45;47;
29/05/2021;32;4;36;44;9;3;7;22;30;32;42;
31/05/2021;25;3;13;32;47;9;12;27;31;35;37;
02/06/2021;33;34;25;3;26;6;6;9;22;39;48;
05/06/2021;45;16;6;37;25;9;4;25;31;36;44;
07/06/2021;6;28;34;7;11;8;7;15;18;23;30;
09/06/2021;16;33;41;2;24;8;10;16;24;30;46;
12/06/2021;9;2;5;29;10;1;5;12;23;34;44;
14/06/2021;40;12;47;21;19;7;14;27;30;31;43;
16/06/2021;22;23;35;46;3;9;1;11;27;32;49;
19/06/2021;3;44;46;27;14;6;3;11;19;28;48;
21/06/2021;44;21;25;18;47;10;1;7;8;31;47;
23/06/2021;1;16;6;3;40;1;4;26;28;44;45;
26/06/2021;37;24;38;13;45;6;9;25;36;37;49;
28/06/2021;4;28;48;8;15;1;8;9;29;39;44;
30/06/2021;8;44;6;48;31;9;5;9;17;38;49;
03/07/2021;33;48;13;2;19;2;8;10;21;25;43;
05/07/2021;43;36;3;32;45;2;1;6;28;34;46;
07/07/2021;37;18;8;44;46;2;5;18;39;40;44;
10/07/2021;43;3;38;42;46;1;1;23;30;34;49;
12/07/2021;38;31;8;37;30;1;1;2;7;8;17;
14/07/2021;36;18;38;31;29;10;3;10;20;36;37;
17/07/2021;31;8;47;11;17;6;6;12;22;32;48;
19/07/2021;3;28;15;4;2;5;9;15;21;23;25;
21/07/2021;27;25;6;37;32;9;3;30;44;48;49;
24/07/2021;24;40;5;31;22;9;10;13;25;37;49;
26/07/2021;42;5;34;21;37;10;5;24;39;44;45;
28/07/2021;1;28;3;29;8;6;16;17;18;45;48;
31/07/2021;22;6;46;7;17;3;2;30;31;41;42;
02/08/2021;24;44;46;42;7;2;14;16;26;27;32;
04/08/2021;21;36;22;20;44;10;7;13;21;42;47;
07/08/2021;7;24;36;6;47;10;13;15;20;26;30;
09/08/2021;37;43;45;28;38;3;3;4;14;21;36;
11/08/2021;43;13;21;5;6;4;2;4;23;34;39;
14/08/2021;4;28;42;49;35;7;7;11;22;30;39;
16/08/2021;22;27;13;10;49;4;7;9;11;32;44;
18/08/2021;4;7;12;24;25;2;10;34;37;42;49;
21/08/2021;46;8;2;19;29;2;4;9;20;23;38;
23/08/2021;13;22;31;11;21;6;1;11;13;20;21;
25/08/2021;19;9;29;26;3;8;24;29;33;45;49;
28/08/2021;48;43;46;11;8;9;3;28;32;38;43;
30/08/2021;32;34;18;44;3;9;10;12;15;33;39;
01/09/2021;49;27;32;24;17;7;17;18;23;25;34;
04/09/2021;41;49;30;45;35;3;9;22;25;46;48;
06/09/2021;3;31;36;13;40;9;12;19;20;39;44;
08/09/2021;7;34;27;12;15;4;1;4;9;12;42;
11/09/2021;5;3;49;33;15;8;15;25;27;40;49;
13/09/2021;4;30;24;21;40;4;7;21;28;36;44;
15/09/2021;48;22;4;30;27;7;5;11;22;28;33;
18/09/2021;39;38;21;2;9;2;15;17;40;45;48;
20/09/2021;12;10;45;15;31;5;18;25;28;40;43;
22/09/2021;5;40;13;14;9;1;15;16;32;44;48;
25/09/2021;20;35;49;18;16;1;3;11;13;21;41;
27/09/2021;12;26;31;40;37;3;17;23;27;46;49;
29/09/2021;6;39;28;13;33;10;11;22;24;25;38;
02/10/2021;6;46;35;20;8;9;22;34;35;36;43;
04/10/2021;44;15;5;19;7;1;7;23;26;34;42;
06/10/2021;44;34;20;8;41;2;1;12;13;44;48;
09/10/2021;22;29;19;15;34;3;9;12;14;28;41;
11/10/2021;26;7;1;9;28;3;3;13;39;42;44;
13/10/2021;21;20;19;43;49;10;14;29;35;40;41;
16/10/2021;23;15;46;5;37;10;9;12;24;27;43;
18/10/2021;41;27;36;35;9;6;5;6;11;20;29;
20/10/2021;26;35;16;22;42;4;3;13;23;24;47;
23/10/2021;6;36;35;10;48;9;16;27;33;41;47;
25/10/2021;31;48;43;37;3;10;8;10;13;33;45;
27/10/2021;41;16;44;27;15;9;19;25;39;44;47;
30/10/2021;46;11;43;12;30;9;1;16;23;41;46;
01/11/2021;47;27;26;43;1;6;17;33;34;45;48;
03/11/2021;7;39;31;38;42;10;9;24;27;28;49;
06/11/2021;19;2;18;22;4;3;3;23;24;39;40;
08/11/2021;44;32;11;48;7;3;11;13;26;30;43;
10/11/2021;31;12;9;40;41;2;12;19;25;40;42;
13/11/2021;39;13;12;31;26;6;4;5;13;33;38;
15/11/2021;34;7;8;41;42;8;1;10;19;21;23;
17/11/2021;37;40;36;4;43;6;9;19;32;36;38;
20/11/2021;44;9;18;17;42;8;10;35;38;39;41;
22/11/2021;19;12;8;41;16;5;15;20;30;31;42;
24/11/2021;14;34;39;24;47;8;11;14;42;43;46;
27/11/2021;25;28;46;12;27;4;3;22;30;34;37;
29/11/2021;30;26;35;44;31;4;21;32;33;39;48;
01/12/2021;26;18;3;49;46;6;3;15;17;41;49;
04/12/2021;23;18;34;5;44;5;1;7;14;33;39;
06/12/2021;29;16;36;7;15;6;3;20;24;29;49;
08/12/2021;28;26;1;30;16;4;8;15;17;27;36;
11/12/2021;16;45;34;42;26;9;2;14;25;26;41;
13/12/2021;23;38;36;18;19;1;6;12;15;23;35;
15/12/2021;34;47;11;37;38;8;15;27;30;31;46;
18/12/2021;10;46;2;31;38;8;4;6;30;32;45;
20/12/2021;22;23;12;47;25;1;13;20;30;41;45;
22/12/2021;41;20;46;11;24;1;22;33;35;36;43;
25/12/2021;6;25;48;21;37;10;1;8;24;31;32;
27/12/2021;32;20;6;12;14;8;4;20;25;27;37;
29/12/2021;21;18;33;49;48;7;7;9;13;31;42;
01/01/2022;30;36;14;6;39;5;15;19;30;38;43;
03/01/2022;33;36;34;38;22;5;7;11;34;39;42;
05/01/2022;17;45;30;32;6;4;7;11;29;41;43;
08/01/2022;22;42;43;17;25;10;3;18;37;43;45;
10/01/2022;14;43;34;41;35;9;20;21;28;31;33;
12/01/2022;23;20;1;26;44;4;5;16;21;26;43;
15/01/2022;19;10;30;13;47;8;2;8;16;22;44;
17/01/2022;4;27;5;15;22;9;8;16;29;33;40;
19/01/2022;44;27;41;8;43;6;11;14;23;32;44;
22/01/2022;26;3;39;17;30;8;6;7;11;23;37;
24/01/2022;15;38;7;4;40;2;13;14;24;31;42;
26/01/2022;14;16;33;38;45;10;1;6;25;28;45;
